iter	Passed	Remaining
776	15461	4437
777	15479	4417
778	15497	4396
779	15513	4375
780	15530	4354
781	15546	4333
782	15561	4312
783	15580	4292
784	15596	4271
785	15612	4250
786	15630	4230
787	15649	4210
788	15666	4189
789	15685	4169
790	15705	4149
791	15722	4129
792	15738	4108
793	15755	4087
794	15770	4066
795	15787	4045
796	15805	4025
797	15821	4004
798	15844	3985
799	15864	3966
800	15885	3946
801	15904	3926
802	15923	3906
803	15939	3885
804	15955	3864
805	15971	3844
806	15988	3823
807	16006	3803
808	16023	3782
809	16044	3763
810	16059	3742
811	16084	3723
812	16106	3704
813	16125	3684
814	16147	3665
815	16170	3646
816	16190	3626
817	16204	3605
818	16221	3584
819	16238	3564
820	16259	3545
821	16277	3524
822	16299	3505
823	16319	3485
824	16335	3465
825	16351	3444
826	16365	3423
827	16384	3403
828	16403	3383
829	16426	3364
830	16443	3344
831	16463	3324
832	16484	3304
833	16503	3284
834	16550	3270
835	16570	3250
836	16587	3230
837	16603	3209
838	16629	3191
839	16644	3170
840	16659	3149
841	16673	3128
842	16690	3108
843	16707	3088
844	16736	3069
845	16755	3050
846	16773	3029
847	16790	3009
848	16806	2989
849	16821	2968
850	16840	2948
851	16856	2928
852	16873	2907
853	16890	2887
854	16904	2866
855	16923	2846
856	16944	2827
857	16969	2808
858	16986	2788
859	17003	2768
860	17023	2748
861	17044	2728
862	17059	2708
863	17075	2687
864	17089	2667
865	17106	2646
866	17123	2626
867	17157	2609
868	17186	2590
869	17208	2571
870	17229	2551
871	17253	2532
872	17282	2514
873	17301	2494
874	17316	2473
875	17332	2453
876	17351	2433
877	17367	2413
878	17384	2393
879	17413	2374
880	17430	2354
881	17454	2335
882	17471	2314
883	17488	2294
884	17505	2274
885	17521	2254
886	17538	2234
887	17624	2222
888	17687	2208
889	17789	2198
890	17815	2179
891	17839	2159
892	17862	2140
893	17880	2120
894	17898	2099
895	17914	2079
896	17931	2059
897	17945	2038
898	17964	2018
899	17981	1997
900	17996	1977
901	18015	1957
902	18038	1937
903	18056	1917
904	18082	1898
905	18099	1877
906	18119	1857
907	18133	1837
908	18151	1817
909	18168	1796
910	18183	1776
911	18200	1756
912	18215	1735
913	18231	1715
914	18247	1695
915	18265	1675
916	18289	1655
917	18309	1635
918	18327	1615
919	18344	1595
920	18405	1578
921	18458	1561
922	18521	1545
923	18565	1527
924	18607	1508
925	18625	1488
926	18641	1468
927	18659	1447
928	18678	1427
929	18696	1407
930	18711	1386
931	18728	1366
932	18752	1346
933	18778	1326
934	18792	1306
935	18810	1286
936	18826	1265
937	18842	1245
938	18857	1225
939	18872	1204
940	18895	1184
941	18912	1164
942	18929	1144
943	18945	1123
944	18969	1104
945	18986	1083
946	19005	1063
947	19019	1043
948	19041	1023
949	19057	1003
950	19075	982
951	19091	962
952	19108	942
953	19123	922
954	19139	901
955	19155	881
956	19176	861
957	19198	841
958	19213	821
